Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno lopšelis-darželis „Vyturėlis“,,,,,
"5 ""Voveriukų"" grupė",lopšelio,-,15,0,2015-2016
"4 ""Viščiukų"" grupė",darželio,-,20,0,2015-2016
"3 ""Kiškučių"" grupė",darželio,-,20,0,2015-2016
"8 ""Stirniukų"" grupė",darželio,-,20,0,2015-2016
"7 ""Kačiukų"" grupė",darželio,-,20,0,2015-2016
"6 ""Meškučių"" grupė",darželio,-,20,0,2015-2016
"2 ""Žvirbliukų"" grupė",priešmokyklinė,-,20,0,2015-2016
"1 ""Ančiukų"" grupė",priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Vyturėlis“,8,155,0,-,
Kauno lopšelis-darželis „Pasaka“,,,,,
Nykštukas,lopšelio,-,15,0,2015-2016
Pagrandukas,lopšelio,-,17,0,2015-2016
Pelenė,darželio,-,20,0,2015-2016
Undinėlė,darželio,-,20,0,2015-2016
Coliukė,darželio,-,20,0,2015-2016
Raudonkepuraitė,darželio,-,20,0,2015-2016
Sigutė,priešmokyklinė,-,20,0,2015-2016
Batuotas katinas,darželio,-,20,0,2015-2016
Saulutė,darželio,-,20,0,2015-2016
Drugelis,darželio,-,20,0,2015-2016
Snieguolė,priešmokyklinė,-,20,0,2015-2016
Kūlverstukas,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Pasaka“,12,232,0,-,
Kauno lopšelis-darželis „Vaidilutė“,,,,,
Girinukas,lopšelio,-,15,0,2015-2016
Boružėlė,lopšelio,-,15,0,2015-2016
Saulutė,darželio,-,20,0,2015-2016
Žemyna,priešmokyklinė,-,20,0,2015-2016
Jievaras,priešmokyklinė,-,20,0,2015-2016
Kupolė,darželio,-,23,0,2015-2016
Aitvariukas,darželio,-,23,0,2015-2016
Linelis,darželio,-,20,0,2015-2016
Bitutė,darželio,-,20,0,2015-2016
Pelėdžiukas,priešmokyklinė,-,20,0,2015-2016
Naminukas,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Vaidilutė“,11,216,0,-,
Kauno lopšelis-darželis „Želmenėlis“,,,,,
SAULUTĖ,lopšelio,-,15,0,2015-2016
GILIUKAS,lopšelio,-,15,0,2015-2016
ŽIRNIUKAS,lopšelio,-,15,0,2015-2016
DOBILĖLIS,darželio,-,20,0,2015-2016
PAKALNUTĖ,darželio,-,20,0,2015-2016
VARPELIS,darželio,-,19,0,2015-2016
RAMUNĖLĖ,darželio,-,19,0,2015-2016
LINELIS,darželio,-,23,0,2015-2016
RŪTELĖ,lopšelio,-,19,0,2015-2016
AGUONĖLĖ,darželio,-,19,0,2015-2016
RUGELIS,priešmokyklinė,-,20,0,2015-2016
PAPARTĖLIS,priešmokyklinė,-,19,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Želmenėlis“,12,223,0,-,
Kauno lopšelis-darželis „Linelis“,,,,,
Pelėdžiukai,priešmokyklinė,-,18,0,2015-2016
Bitutės,priešmokyklinė,-,18,0,2015-2016
"M.Montessori ,,Boružėlių""",darželio,-,20,0,2015-2016
"M.Montessori ,,Smalsučių""",darželio,-,20,0,2015-2016
Drugelis,darželio,-,18,0,2015-2016
Saulutė,darželio,-,18,0,2015-2016
Linas,darželio,-,18,0,2015-2016
Gandriukai,darželio,-,18,0,2015-2016
Ančiukai,lopšelio,-,15,0,2015-2016
Giliukai,lopšelio,-,15,0,2015-2016
Kiškučiai,lopšelio,-,15,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Linelis“,11,193,0,-,
Kauno lopšelis-darželis „Žemyna“,,,,,
Javinė,lopšelio,-,16,0,2015-2016
Saulė,priešmokyklinė,-,20,0,2015-2016
Mėletėlė,darželio,-,20,0,2015-2016
Gabija,darželio,-,23,0,2015-2016
Medeina,darželio,-,23,0,2015-2016
Aušrinė,darželio,-,20,0,2015-2016
Austėja,darželio,-,23,0,2015-2016
Guboja,darželio,-,23,0,2015-2016
Upyna,darželio,-,20,0,2015-2016
Vakarė,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Žemyna“,10,208,0,-,
Kauno lopšelis-darželis „Atžalėlė“,,,,,
",,Liepaitė""",darželio,-,20,0,2015-2016
",,Berželis""",darželio,-,20,0,2015-2016
",,Eglaitė""",priešmokyklinė,-,20,0,2015-2016
",,Klevelis""",darželio,-,20,0,2015-2016
",,Ąžuoliukas""",lopšelio,-,15,0,2015-2016
",,Pušaitė""",darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Atžalėlė“,6,115,0,-,
Kauno lopšelis-darželis „Svirnelis“,,,,,
",,Bitučių""",priešmokyklinė,-,20,0,2015-2016
",,Kiškučių""",priešmokyklinė,-,22,0,2015-2016
",,Žvirbliukų""",darželio,-,22,0,2015-2016
",,Smalsučių""",darželio,-,20,0,2015-2016
",,Svirpliukų""",darželio,-,20,0,2015-2016
",,Peliukų""",darželio,-,22,0,2015-2016
",,Obuoliukų""",darželio,-,20,0,2015-2016
",,Meškučių""",darželio,-,22,0,2015-2016
",,Nykštukų""",lopšelio,-,16,0,2015-2016
